model,theta,mode,mean_samples_per_batch,independent_batches,expected_total_samples,mean_realized_samples,conditioning_mode,query_count,max_conditioning_bins,epsilon_tv,zeta,beta,graph_failure_bound,trials,exact_count,exact_recovery,wilson95_lower,wilson95_upper,mean_missing_edges,mean_extra_edges,seed,simulation_seconds
Independent benchmark,0,base_budget,250,1,250,248.4,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Independent benchmark,0,base_budget,500,1,500,499.725,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Independent benchmark,0,base_budget,1000,1,1000,1000.2875,order1,196,2,NaN,2,NaN,NaN,80,78,0.975,0.91335567014422,0.993117106797029,0,0.025,20260903,3.38318125
Independent benchmark,0,base_budget,2000,1,2000,1999.3125,order1,196,2,NaN,2,NaN,NaN,80,79,0.9875,0.932537299223313,0.997790024479548,0,0.025,20260903,3.38318125
Independent benchmark,0,base_budget,5000,1,5000,4995.15,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain weak,0.2,base_budget,250,1,250,249.4625,order1,196,2,NaN,2,NaN,NaN,80,0,0,0,0.0458181295355271,5.2375,0,20260903,3.38318125
Chain weak,0.2,base_budget,500,1,500,499.3875,order1,196,2,NaN,2,NaN,NaN,80,6,0.075,0.0348252492930051,0.154120160812193,1.6625,0.0125,20260903,3.38318125
Chain weak,0.2,base_budget,1000,1,1000,1004.25,order1,196,2,NaN,2,NaN,NaN,80,76,0.95,0.87837723795357,0.980386445464456,0.05,0,20260903,3.38318125
Chain weak,0.2,base_budget,2000,1,2000,2005.075,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain weak,0.2,base_budget,5000,1,5000,4989.425,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain weak,0.2,amplified_bound,321983503.837869,103,33164300895.3005,33164291033.575,order1,196,2,0.00592769270352607,2,2000,0.05,40,40,1,0.912378398802714,1,0,0,20260903,3.38318125
Chain strong,0.4,base_budget,250,1,250,248.85,order1,196,2,NaN,2,NaN,NaN,80,47,0.5875,0.478040403458902,0.688941423872381,0.4625,0,20260903,3.38318125
Chain strong,0.4,base_budget,500,1,500,501.3875,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain strong,0.4,base_budget,1000,1,1000,1002.925,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain strong,0.4,base_budget,2000,1,2000,1997.7875,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain strong,0.4,base_budget,5000,1,5000,4994.3125,order1,196,2,NaN,2,NaN,NaN,80,80,1,0.954181870464473,1,0,0,20260903,3.38318125
Chain strong,0.4,amplified_bound,109615883.932219,103,11290436045.0186,11290454816.825,order1,196,2,0.010159345901152,2,2000,0.05,40,40,1,0.912378398802714,1,0,0,20260903,3.38318125
Dense minus one edge,0.12,base_budget,1000,1,1000,1002.03333333333,full,28,64,NaN,2,NaN,NaN,60,0,0,0,0.0601718521420899,26.9666666666667,0,20260903,3.38318125
Dense minus one edge,0.12,base_budget,3000,1,3000,2990.58333333333,full,28,64,NaN,2,NaN,NaN,60,0,0,0,0.0601718521420899,26.85,0,20260903,3.38318125
Dense minus one edge,0.12,base_budget,10000,1,10000,10019.1166666667,full,28,64,NaN,2,NaN,NaN,60,0,0,0,0.0601718521420899,6.35,0,20260903,3.38318125
Dense minus one edge,0.12,base_budget,30000,1,30000,30027.1,full,28,64,NaN,2,NaN,NaN,60,60,1,0.93982814785791,1,0,0,20260903,3.38318125
Dense minus one edge,0.12,base_budget,100000,1,100000,99928.5,full,28,64,NaN,2,NaN,NaN,60,60,1,0.93982814785791,1,0,0,20260903,3.38318125
Dense minus one edge,0.12,amplified_bound,4104189493439.03,73,299605833021050,299605834333537,full,28,64,0.000124875225320693,2,2000,0.05,40,40,1,0.912378398802714,1,0,0,20260903,3.38318125
