i,j,conditioning_set,conditioning_bins,true_edge,population_ci,tv_lower_bound,model
1,2,[],1,0,1,0,Independent benchmark
1,2,3,2,0,1,0,Independent benchmark
1,2,4,2,0,1,0,Independent benchmark
1,2,5,2,0,1,0,Independent benchmark
1,2,6,2,0,1,0,Independent benchmark
1,2,7,2,0,1,0,Independent benchmark
1,2,8,2,0,1,0,Independent benchmark
1,3,[],1,0,1,0,Independent benchmark
1,3,2,2,0,1,0,Independent benchmark
1,3,4,2,0,1,0,Independent benchmark
1,3,5,2,0,1,0,Independent benchmark
1,3,6,2,0,1,0,Independent benchmark
1,3,7,2,0,1,0,Independent benchmark
1,3,8,2,0,1,0,Independent benchmark
1,4,[],1,0,1,0,Independent benchmark
1,4,2,2,0,1,0,Independent benchmark
1,4,3,2,0,1,0,Independent benchmark
1,4,5,2,0,1,0,Independent benchmark
1,4,6,2,0,1,0,Independent benchmark
1,4,7,2,0,1,0,Independent benchmark
1,4,8,2,0,1,0,Independent benchmark
1,5,[],1,0,1,0,Independent benchmark
1,5,2,2,0,1,0,Independent benchmark
1,5,3,2,0,1,0,Independent benchmark
1,5,4,2,0,1,0,Independent benchmark
1,5,6,2,0,1,0,Independent benchmark
1,5,7,2,0,1,0,Independent benchmark
1,5,8,2,0,1,0,Independent benchmark
1,6,[],1,0,1,0,Independent benchmark
1,6,2,2,0,1,0,Independent benchmark
1,6,3,2,0,1,0,Independent benchmark
1,6,4,2,0,1,0,Independent benchmark
1,6,5,2,0,1,0,Independent benchmark
1,6,7,2,0,1,0,Independent benchmark
1,6,8,2,0,1,0,Independent benchmark
1,7,[],1,0,1,0,Independent benchmark
1,7,2,2,0,1,0,Independent benchmark
1,7,3,2,0,1,0,Independent benchmark
1,7,4,2,0,1,0,Independent benchmark
1,7,5,2,0,1,0,Independent benchmark
1,7,6,2,0,1,0,Independent benchmark
1,7,8,2,0,1,0,Independent benchmark
1,8,[],1,0,1,0,Independent benchmark
1,8,2,2,0,1,0,Independent benchmark
1,8,3,2,0,1,0,Independent benchmark
1,8,4,2,0,1,0,Independent benchmark
1,8,5,2,0,1,0,Independent benchmark
1,8,6,2,0,1,0,Independent benchmark
1,8,7,2,0,1,0,Independent benchmark
2,3,[],1,0,1,0,Independent benchmark
2,3,1,2,0,1,0,Independent benchmark
2,3,4,2,0,1,0,Independent benchmark
2,3,5,2,0,1,0,Independent benchmark
2,3,6,2,0,1,0,Independent benchmark
2,3,7,2,0,1,0,Independent benchmark
2,3,8,2,0,1,0,Independent benchmark
2,4,[],1,0,1,0,Independent benchmark
2,4,1,2,0,1,0,Independent benchmark
2,4,3,2,0,1,0,Independent benchmark
2,4,5,2,0,1,0,Independent benchmark
2,4,6,2,0,1,0,Independent benchmark
2,4,7,2,0,1,0,Independent benchmark
2,4,8,2,0,1,0,Independent benchmark
2,5,[],1,0,1,0,Independent benchmark
2,5,1,2,0,1,0,Independent benchmark
2,5,3,2,0,1,0,Independent benchmark
2,5,4,2,0,1,0,Independent benchmark
2,5,6,2,0,1,0,Independent benchmark
2,5,7,2,0,1,0,Independent benchmark
2,5,8,2,0,1,0,Independent benchmark
2,6,[],1,0,1,0,Independent benchmark
2,6,1,2,0,1,0,Independent benchmark
2,6,3,2,0,1,0,Independent benchmark
2,6,4,2,0,1,0,Independent benchmark
2,6,5,2,0,1,0,Independent benchmark
2,6,7,2,0,1,0,Independent benchmark
2,6,8,2,0,1,0,Independent benchmark
2,7,[],1,0,1,0,Independent benchmark
2,7,1,2,0,1,0,Independent benchmark
2,7,3,2,0,1,0,Independent benchmark
2,7,4,2,0,1,0,Independent benchmark
2,7,5,2,0,1,0,Independent benchmark
2,7,6,2,0,1,0,Independent benchmark
2,7,8,2,0,1,0,Independent benchmark
2,8,[],1,0,1,0,Independent benchmark
2,8,1,2,0,1,0,Independent benchmark
2,8,3,2,0,1,0,Independent benchmark
2,8,4,2,0,1,0,Independent benchmark
2,8,5,2,0,1,0,Independent benchmark
2,8,6,2,0,1,0,Independent benchmark
2,8,7,2,0,1,0,Independent benchmark
3,4,[],1,0,1,0,Independent benchmark
3,4,1,2,0,1,0,Independent benchmark
3,4,2,2,0,1,0,Independent benchmark
3,4,5,2,0,1,0,Independent benchmark
3,4,6,2,0,1,0,Independent benchmark
3,4,7,2,0,1,0,Independent benchmark
3,4,8,2,0,1,0,Independent benchmark
3,5,[],1,0,1,0,Independent benchmark
3,5,1,2,0,1,0,Independent benchmark
3,5,2,2,0,1,0,Independent benchmark
3,5,4,2,0,1,0,Independent benchmark
3,5,6,2,0,1,0,Independent benchmark
3,5,7,2,0,1,0,Independent benchmark
3,5,8,2,0,1,0,Independent benchmark
3,6,[],1,0,1,0,Independent benchmark
3,6,1,2,0,1,0,Independent benchmark
3,6,2,2,0,1,0,Independent benchmark
3,6,4,2,0,1,0,Independent benchmark
3,6,5,2,0,1,0,Independent benchmark
3,6,7,2,0,1,0,Independent benchmark
3,6,8,2,0,1,0,Independent benchmark
3,7,[],1,0,1,0,Independent benchmark
3,7,1,2,0,1,0,Independent benchmark
3,7,2,2,0,1,0,Independent benchmark
3,7,4,2,0,1,0,Independent benchmark
3,7,5,2,0,1,0,Independent benchmark
3,7,6,2,0,1,0,Independent benchmark
3,7,8,2,0,1,0,Independent benchmark
3,8,[],1,0,1,0,Independent benchmark
3,8,1,2,0,1,0,Independent benchmark
3,8,2,2,0,1,0,Independent benchmark
3,8,4,2,0,1,0,Independent benchmark
3,8,5,2,0,1,0,Independent benchmark
3,8,6,2,0,1,0,Independent benchmark
3,8,7,2,0,1,0,Independent benchmark
4,5,[],1,0,1,0,Independent benchmark
4,5,1,2,0,1,0,Independent benchmark
4,5,2,2,0,1,0,Independent benchmark
4,5,3,2,0,1,0,Independent benchmark
4,5,6,2,0,1,0,Independent benchmark
4,5,7,2,0,1,0,Independent benchmark
4,5,8,2,0,1,0,Independent benchmark
4,6,[],1,0,1,0,Independent benchmark
4,6,1,2,0,1,0,Independent benchmark
4,6,2,2,0,1,0,Independent benchmark
4,6,3,2,0,1,0,Independent benchmark
4,6,5,2,0,1,0,Independent benchmark
4,6,7,2,0,1,0,Independent benchmark
4,6,8,2,0,1,0,Independent benchmark
4,7,[],1,0,1,0,Independent benchmark
4,7,1,2,0,1,0,Independent benchmark
4,7,2,2,0,1,0,Independent benchmark
4,7,3,2,0,1,0,Independent benchmark
4,7,5,2,0,1,0,Independent benchmark
4,7,6,2,0,1,0,Independent benchmark
4,7,8,2,0,1,0,Independent benchmark
4,8,[],1,0,1,0,Independent benchmark
4,8,1,2,0,1,0,Independent benchmark
4,8,2,2,0,1,0,Independent benchmark
4,8,3,2,0,1,0,Independent benchmark
4,8,5,2,0,1,0,Independent benchmark
4,8,6,2,0,1,0,Independent benchmark
4,8,7,2,0,1,0,Independent benchmark
5,6,[],1,0,1,0,Independent benchmark
5,6,1,2,0,1,0,Independent benchmark
5,6,2,2,0,1,0,Independent benchmark
5,6,3,2,0,1,0,Independent benchmark
5,6,4,2,0,1,0,Independent benchmark
5,6,7,2,0,1,0,Independent benchmark
5,6,8,2,0,1,0,Independent benchmark
5,7,[],1,0,1,0,Independent benchmark
5,7,1,2,0,1,0,Independent benchmark
5,7,2,2,0,1,0,Independent benchmark
5,7,3,2,0,1,0,Independent benchmark
5,7,4,2,0,1,0,Independent benchmark
5,7,6,2,0,1,0,Independent benchmark
5,7,8,2,0,1,0,Independent benchmark
5,8,[],1,0,1,0,Independent benchmark
5,8,1,2,0,1,0,Independent benchmark
5,8,2,2,0,1,0,Independent benchmark
5,8,3,2,0,1,0,Independent benchmark
5,8,4,2,0,1,0,Independent benchmark
5,8,6,2,0,1,0,Independent benchmark
5,8,7,2,0,1,0,Independent benchmark
6,7,[],1,0,1,0,Independent benchmark
6,7,1,2,0,1,0,Independent benchmark
6,7,2,2,0,1,0,Independent benchmark
6,7,3,2,0,1,0,Independent benchmark
6,7,4,2,0,1,0,Independent benchmark
6,7,5,2,0,1,0,Independent benchmark
6,7,8,2,0,1,0,Independent benchmark
6,8,[],1,0,1,0,Independent benchmark
6,8,1,2,0,1,0,Independent benchmark
6,8,2,2,0,1,0,Independent benchmark
6,8,3,2,0,1,0,Independent benchmark
6,8,4,2,0,1,0,Independent benchmark
6,8,5,2,0,1,0,Independent benchmark
6,8,7,2,0,1,0,Independent benchmark
7,8,[],1,0,1,0,Independent benchmark
7,8,1,2,0,1,0,Independent benchmark
7,8,2,2,0,1,0,Independent benchmark
7,8,3,2,0,1,0,Independent benchmark
7,8,4,2,0,1,0,Independent benchmark
7,8,5,2,0,1,0,Independent benchmark
7,8,6,2,0,1,0,Independent benchmark
1,2,[],1,1,0,0.024671915028113,Chain weak
1,2,3,2,1,0,0.0118553854070521,Chain weak
1,2,4,2,1,0,0.0123172358582979,Chain weak
1,2,5,2,1,0,0.0123352281741942,Chain weak
1,2,6,2,1,0,0.0123359291011511,Chain weak
1,2,7,2,1,0,0.0123359564071745,Chain weak
1,2,8,2,1,0,0.0123359574709357,Chain weak
1,3,[],1,0,0,0.00486962712923545,Chain weak
1,3,2,2,0,1,2.60208521396521e-18,Chain weak
1,3,4,2,0,0,0.00233996049110657,Chain weak
1,3,5,2,0,0,0.00243111837181723,Chain weak
1,3,6,2,0,0,0.00243466961092884,Chain weak
1,3,7,2,0,0,0.00243480795661141,Chain weak
1,3,8,2,0,0,0.00243481334614652,Chain weak
1,4,[],1,0,0,0.000961144214008728,Chain weak
1,4,2,2,0,1,5.20417042793042e-18,Chain weak
1,4,3,2,0,1,6.93889390390723e-18,Chain weak
1,4,5,2,0,0,0.000461850451245782,Chain weak
1,4,6,2,0,0,0.00047984276714207,Chain weak
1,4,7,2,0,0,0.000480543694098923,Chain weak
1,4,8,2,0,0,0.000480571000122316,Chain weak
1,5,[],1,0,0,0.000189706147022281,Chain weak
1,5,2,2,0,1,2.60208521396521e-18,Chain weak
1,5,3,2,0,1,4.33680868994202e-18,Chain weak
1,5,4,2,0,1,2.60208521396521e-18,Chain weak
1,5,6,2,0,0,9.11578807106543e-05,Chain weak
1,5,7,2,0,0,9.47091198222677e-05,Chain weak
1,5,8,2,0,0,9.48474655048269e-05,Chain weak
1,6,[],1,0,0,3.74433115171574e-05,Chain weak
1,6,2,2,0,1,1.73472347597681e-18,Chain weak
1,6,3,2,0,1,2.60208521396521e-18,Chain weak
1,6,4,2,0,1,8.67361737988404e-19,Chain weak
1,6,5,2,0,1,1.73472347597681e-18,Chain weak
1,6,7,2,0,0,1.79923158962888e-05,Chain weak
1,6,8,2,0,0,1.86932428531371e-05,Chain weak
1,7,[],1,0,0,7.3903856009673e-06,Chain weak
1,7,2,2,0,1,3.46944695195361e-18,Chain weak
1,7,3,2,0,1,8.67361737988404e-19,Chain weak
1,7,4,2,0,1,1.73472347597681e-18,Chain weak
1,7,5,2,0,1,1.73472347597681e-18,Chain weak
1,7,6,2,0,1,4.33680868994202e-18,Chain weak
1,7,8,2,0,0,3.55123911161687e-06,Chain weak
1,8,[],1,0,0,1.45867972457456e-06,Chain weak
1,8,2,2,0,1,2.60208521396521e-18,Chain weak
1,8,3,2,0,1,3.46944695195361e-18,Chain weak
1,8,4,2,0,1,3.46944695195361e-18,Chain weak
1,8,5,2,0,1,1.73472347597681e-18,Chain weak
1,8,6,2,0,1,2.60208521396521e-18,Chain weak
1,8,7,2,0,1,3.46944695195361e-18,Chain weak
2,3,[],1,1,0,0.024671915028113,Chain weak
2,3,1,2,1,0,0.0118553854070521,Chain weak
2,3,4,2,1,0,0.0118553854070522,Chain weak
2,3,5,2,1,0,0.0123172358582979,Chain weak
2,3,6,2,1,0,0.0123352281741942,Chain weak
2,3,7,2,1,0,0.0123359291011511,Chain weak
2,3,8,2,1,0,0.0123359564071745,Chain weak
2,4,[],1,0,0,0.00486962712923543,Chain weak
2,4,1,2,0,0,0.00233996049110657,Chain weak
2,4,3,2,0,1,1.73472347597681e-18,Chain weak
2,4,5,2,0,0,0.00233996049110657,Chain weak
2,4,6,2,0,0,0.00243111837181723,Chain weak
2,4,7,2,0,0,0.00243466961092885,Chain weak
2,4,8,2,0,0,0.00243480795661141,Chain weak
2,5,[],1,0,0,0.000961144214008725,Chain weak
2,5,1,2,0,0,0.000461850451245782,Chain weak
2,5,3,2,0,1,4.33680868994202e-18,Chain weak
2,5,4,2,0,1,5.20417042793042e-18,Chain weak
2,5,6,2,0,0,0.00046185045124578,Chain weak
2,5,7,2,0,0,0.000479842767142068,Chain weak
2,5,8,2,0,0,0.000480543694098919,Chain weak
2,6,[],1,0,0,0.000189706147022291,Chain weak
2,6,1,2,0,0,9.11578807106534e-05,Chain weak
2,6,3,2,0,1,8.67361737988404e-19,Chain weak
2,6,4,2,0,1,4.33680868994202e-18,Chain weak
2,6,5,2,0,1,8.67361737988404e-18,Chain weak
2,6,7,2,0,0,9.11578807106534e-05,Chain weak
2,6,8,2,0,0,9.47091198222677e-05,Chain weak
2,7,[],1,0,0,3.74433115171678e-05,Chain weak
2,7,1,2,0,0,1.79923158962871e-05,Chain weak
2,7,3,2,0,1,1.73472347597681e-18,Chain weak
2,7,4,2,0,1,2.60208521396521e-18,Chain weak
2,7,5,2,0,1,3.46944695195361e-18,Chain weak
2,7,6,2,0,1,6.07153216591882e-18,Chain weak
2,7,8,2,0,0,1.79923158962914e-05,Chain weak
2,8,[],1,0,0,7.39038560096383e-06,Chain weak
2,8,1,2,0,0,3.55123911161687e-06,Chain weak
2,8,3,2,0,1,2.60208521396521e-18,Chain weak
2,8,4,2,0,1,2.60208521396521e-18,Chain weak
2,8,5,2,0,1,2.60208521396521e-18,Chain weak
2,8,6,2,0,1,1.73472347597681e-18,Chain weak
2,8,7,2,0,1,6.93889390390723e-18,Chain weak
3,4,[],1,1,0,0.024671915028113,Chain weak
3,4,1,2,1,0,0.0123172358582979,Chain weak
3,4,2,2,1,0,0.0118553854070522,Chain weak
3,4,5,2,1,0,0.0118553854070522,Chain weak
3,4,6,2,1,0,0.0123172358582979,Chain weak
3,4,7,2,1,0,0.0123352281741942,Chain weak
3,4,8,2,1,0,0.0123359291011511,Chain weak
3,5,[],1,0,0,0.00486962712923544,Chain weak
3,5,1,2,0,0,0.00243111837181723,Chain weak
3,5,2,2,0,0,0.00233996049110657,Chain weak
3,5,4,2,0,1,1.73472347597681e-18,Chain weak
3,5,6,2,0,0,0.00233996049110657,Chain weak
3,5,7,2,0,0,0.00243111837181722,Chain weak
3,5,8,2,0,0,0.00243466961092884,Chain weak
3,6,[],1,0,0,0.000961144214008725,Chain weak
3,6,1,2,0,0,0.000479842767142072,Chain weak
3,6,2,2,0,0,0.00046185045124578,Chain weak
3,6,4,2,0,1,3.46944695195361e-18,Chain weak
3,6,5,2,0,1,4.33680868994202e-18,Chain weak
3,6,7,2,0,0,0.000461850451245784,Chain weak
3,6,8,2,0,0,0.000479842767142068,Chain weak
3,7,[],1,0,0,0.000189706147022285,Chain weak
3,7,1,2,0,0,9.47091198222685e-05,Chain weak
3,7,2,2,0,0,9.11578807106551e-05,Chain weak
3,7,4,2,0,1,8.67361737988404e-19,Chain weak
3,7,5,2,0,1,1.73472347597681e-18,Chain weak
3,7,6,2,0,1,6.07153216591882e-18,Chain weak
3,7,8,2,0,0,9.11578807106534e-05,Chain weak
3,8,[],1,0,0,3.74433115171574e-05,Chain weak
3,8,1,2,0,0,1.86932428531397e-05,Chain weak
3,8,2,2,0,0,1.79923158962906e-05,Chain weak
3,8,4,2,0,1,1.73472347597681e-18,Chain weak
3,8,5,2,0,1,1.73472347597681e-18,Chain weak
3,8,6,2,0,1,2.60208521396521e-18,Chain weak
3,8,7,2,0,1,5.20417042793042e-18,Chain weak
4,5,[],1,1,0,0.024671915028113,Chain weak
4,5,1,2,1,0,0.0123352281741942,Chain weak
4,5,2,2,1,0,0.0123172358582979,Chain weak
4,5,3,2,1,0,0.0118553854070521,Chain weak
4,5,6,2,1,0,0.0118553854070521,Chain weak
4,5,7,2,1,0,0.0123172358582979,Chain weak
4,5,8,2,1,0,0.0123352281741942,Chain weak
4,6,[],1,0,0,0.00486962712923544,Chain weak
4,6,1,2,0,0,0.00243466961092885,Chain weak
4,6,2,2,0,0,0.00243111837181723,Chain weak
4,6,3,2,0,0,0.00233996049110657,Chain weak
4,6,5,2,0,1,2.60208521396521e-18,Chain weak
4,6,7,2,0,0,0.00233996049110657,Chain weak
4,6,8,2,0,0,0.00243111837181723,Chain weak
4,7,[],1,0,0,0.000961144214008725,Chain weak
4,7,1,2,0,0,0.000480543694098923,Chain weak
4,7,2,2,0,0,0.000479842767142072,Chain weak
4,7,3,2,0,0,0.000461850451245784,Chain weak
4,7,5,2,0,1,2.60208521396521e-18,Chain weak
4,7,6,2,0,1,8.67361737988404e-19,Chain weak
4,7,8,2,0,0,0.000461850451245785,Chain weak
4,8,[],1,0,0,0.000189706147022285,Chain weak
4,8,1,2,0,0,9.48474655048338e-05,Chain weak
4,8,2,2,0,0,9.47091198222694e-05,Chain weak
4,8,3,2,0,0,9.11578807106525e-05,Chain weak
4,8,5,2,0,1,5.20417042793042e-18,Chain weak
4,8,6,2,0,1,2.60208521396521e-18,Chain weak
4,8,7,2,0,1,1.73472347597681e-18,Chain weak
5,6,[],1,1,0,0.024671915028113,Chain weak
5,6,1,2,1,0,0.0123359291011511,Chain weak
5,6,2,2,1,0,0.0123352281741942,Chain weak
5,6,3,2,1,0,0.0123172358582979,Chain weak
5,6,4,2,1,0,0.0118553854070521,Chain weak
5,6,7,2,1,0,0.0118553854070522,Chain weak
5,6,8,2,1,0,0.0123172358582979,Chain weak
