scenario,theta,sample_size,method,replications,query_count,conditioning_support,coalition_payoff_per_edge,gain_over_independent,precision_mean,precision_se,recall_mean,recall_se,f1_mean,f1_se,exact_mean,exact_se,seed,familywise_alpha,total_runtime_seconds
8-agent chain,0.2,250,"Conditional, order 1",80,196,2,0.598687660112452,0.0986876601124522,0.65,0.0536632726866619,0.123214285714286,0.0126412837058934,0.202361111111111,0.0192905743813525,0,0,20260819,0.05,2.634202625
8-agent chain,0.2,250,"Marginal screening",80,28,1,0.598687660112452,0.0986876601124522,0.976666666666667,0.0134847676736523,0.480357142857143,0.0193947007572478,0.626008644133644,0.0195382163878861,0,0,20260819,0.05,2.634202625
8-agent chain,0.2,500,"Conditional, order 1",80,196,2,0.598687660112452,0.0986876601124522,1,0,0.616071428571428,0.0207383955842275,0.745569638694639,0.0168426938543481,0.05,0.0245207223136842,20260819,0.05,2.634202625
8-agent chain,0.2,500,"Marginal screening",80,28,1,0.598687660112452,0.0986876601124522,0.990104166666667,0.00393918517061187,0.930357142857143,0.010476181914074,0.956410256410257,0.00613749450416089,0.5375,0.056095956441743,20260819,0.05,2.634202625
8-agent chain,0.2,1000,"Conditional, order 1",80,196,2,0.598687660112452,0.0986876601124522,1,0,0.975,0.00661474441755959,0.986378205128205,0.00364438685990986,0.8375,0.0415054899525657,20260819,0.05,2.634202625
8-agent chain,0.2,1000,"Marginal screening",80,28,1,0.598687660112452,0.0986876601124522,0.973784722222222,0.00601657064276509,1,0,0.9859375,0.00324308793130386,0.8,0.045003516037041,20260819,0.05,2.634202625
8-agent chain,0.2,2000,"Conditional, order 1",80,196,2,0.598687660112452,0.0986876601124522,1,0,1,0,1,0,1,0,20260819,0.05,2.634202625
8-agent chain,0.2,2000,"Marginal screening",80,28,1,0.598687660112452,0.0986876601124522,0.945833333333333,0.00831132818973859,1,0,0.970625,0.00455947713570918,0.625,0.0544680837913244,20260819,0.05,2.634202625
8-agent chain,0.2,5000,"Conditional, order 1",80,196,2,0.598687660112452,0.0986876601124522,1,0,1,0,1,0,1,0,20260819,0.05,2.634202625
8-agent chain,0.2,5000,"Marginal screening",80,28,1,0.598687660112452,0.0986876601124522,0.764540112665113,0.0118037971324495,1,0,0.862634696422429,0.00744984830096245,0.075,0.0296338414142012,20260819,0.05,2.634202625
8-agent chain,0.4,250,"Conditional, order 1",80,196,2,0.689974481127613,0.189974481127613,1,0,0.928571428571429,0.0101652580994974,0.960576923076923,0.00573702195979922,0.575,0.0556179326330973,20260819,0.05,2.634202625
8-agent chain,0.4,250,"Marginal screening",80,28,1,0.689974481127613,0.189974481127613,0.866282467532468,0.0131973539482965,0.996428571428572,0.00250934703189474,0.922435024448376,0.00800434827131638,0.3375,0.0532005698551378,20260819,0.05,2.634202625
8-agent chain,0.4,500,"Conditional, order 1",80,196,2,0.689974481127613,0.189974481127613,1,0,1,0,1,0,1,0,20260819,0.05,2.634202625
8-agent chain,0.4,500,"Marginal screening",80,28,1,0.689974481127613,0.189974481127613,0.685919046231546,0.011715625101387,1,0,0.809365110079119,0.00792784146380894,0.025,0.0175654292232632,20260819,0.05,2.634202625
8-agent chain,0.4,1000,"Conditional, order 1",80,196,2,0.689974481127613,0.189974481127613,1,0,1,0,1,0,1,0,20260819,0.05,2.634202625
8-agent chain,0.4,1000,"Marginal screening",80,28,1,0.689974481127613,0.189974481127613,0.541794507575758,0.00446980717519339,1,0,0.701962489003645,0.00370611134219725,0,0,20260819,0.05,2.634202625
8-agent chain,0.4,2000,"Conditional, order 1",80,196,2,0.689974481127613,0.189974481127613,1,0,1,0,1,0,1,0,20260819,0.05,2.634202625
8-agent chain,0.4,2000,"Marginal screening",80,28,1,0.689974481127613,0.189974481127613,0.48931326655156,0.00403463573974952,1,0,0.65630833840073,0.00369777858526411,0,0,20260819,0.05,2.634202625
8-agent chain,0.4,5000,"Conditional, order 1",80,196,2,0.689974481127613,0.189974481127613,1,0,1,0,1,0,1,0,20260819,0.05,2.634202625
8-agent chain,0.4,5000,"Marginal screening",80,28,1,0.689974481127613,0.189974481127613,0.409636760405917,0.00328442959371562,1,0,0.580588302196998,0.00329610247373164,0,0,20260819,0.05,2.634202625
8-agent dense graph,0.12,1000,"Condition on remaining 6",60,28,64,0.630747950054134,0.130747950054134,0.9628033625731,0.0233531315566321,0.28641975308642,0.0251762392360195,0.410395465461347,0.0293033747413042,0,0,20260819,0.05,2.634202625
8-agent dense graph,0.12,3000,"Condition on remaining 6",60,28,64,0.630747950054134,0.130747950054134,1,0,0.393827160493827,0.0283486251114675,0.532212431611189,0.0277669320234901,0,0,20260819,0.05,2.634202625
8-agent dense graph,0.12,10000,"Condition on remaining 6",60,28,64,0.630747950054134,0.130747950054134,1,0,0.999382716049383,0.000617283950617285,0.999685534591195,0.000314465408805031,0.983333333333333,0.0166666666666667,20260819,0.05,2.634202625
